#HJD,Tel,Mag,Band
2456352.4366,30,12.714,B
2456353.3420,36,--,RC
2456353.3420,36,--,IC
2456353.3420,36,12.338,V
2456353.3420,36,12.729,B
2456354.2978,36,--,RC
2456354.2978,36,--,IC
2456354.2978,36,12.345,V
2456354.2978,36,12.756,B
2456356.3969,30,12.279,RC
2456356.3969,30,12.292,IC
2456356.3969,30,12.326,V
2456356.3969,30,12.802,B
2456367.3330,30,12.467,RC
2456367.3330,30,12.496,IC
2456367.3330,30,12.452,V
2456367.3330,30,13.011,B
2456367.3575,36,--,RC
2456367.3575,36,--,IC
2456367.3575,36,12.466,V
2456367.3575,36,12.994,B
2456367.3745,61,12.471,RC
2456367.3745,61,12.491,IC
2456367.3745,61,12.435,V
2456367.3745,61,12.989,B
